Date,Close,Date,Close,Date,Close
5/30/2017 16:00:00,18.59,9/13/2016 16:00:00,27,9/16/2016 16:00:00,21.14
5/31/2017 16:00:00,18.61,9/14/2016 16:00:00,26.96,9/19/2016 16:00:00,21.37
6/1/2017 16:00:00,18.89,9/15/2016 16:00:00,27.2,9/20/2016 16:00:00,21.22
6/2/2017 16:00:00,19.11,9/16/2016 16:00:00,27.01,9/21/2016 16:00:00,21.32
6/5/2017 16:00:00,19.16,9/19/2016 16:00:00,27.31,9/22/2016 16:00:00,21.69
6/6/2017 16:00:00,19.06,9/20/2016 16:00:00,27.39,9/23/2016 16:00:00,21.62
6/7/2017 16:00:00,19.1,9/21/2016 16:00:00,27.85,9/26/2016 16:00:00,21.63
6/8/2017 16:00:00,19.09,9/22/2016 16:00:00,28.19,9/27/2016 16:00:00,21.71
6/9/2017 16:00:00,18.94,9/23/2016 16:00:00,28.07,9/28/2016 16:00:00,22.04
6/12/2017 16:00:00,18.74,9/26/2016 16:00:00,27.81,9/29/2016 16:00:00,22.04
6/13/2017 16:00:00,18.83,9/27/2016 16:00:00,28,9/30/2016 16:00:00,22.37
6/14/2017 16:00:00,18.8,9/28/2016 16:00:00,28.35,10/3/2016 16:00:00,22.32
6/15/2017 16:00:00,18.54,9/29/2016 16:00:00,28.25,10/4/2016 16:00:00,22.3
6/16/2017 16:00:00,18.63,9/30/2016 16:00:00,28.39,10/5/2016 16:00:00,22.49
6/19/2017 16:00:00,18.85,10/3/2016 16:00:00,28.29,10/6/2016 16:00:00,22.28
6/20/2017 16:00:00,18.85,10/4/2016 16:00:00,28.15,10/7/2016 16:00:00,21.97
6/21/2017 16:00:00,18.92,10/5/2016 16:00:00,28.33,10/10/2016 16:00:00,22.18
6/22/2017 16:00:00,18.92,10/6/2016 16:00:00,28.21,10/11/2016 16:00:00,21.8
6/23/2017 16:00:00,18.94,10/7/2016 16:00:00,28.16,10/12/2016 16:00:00,21.57
6/26/2017 16:00:00,18.95,10/10/2016 16:00:00,28.22,10/13/2016 16:00:00,21.38
6/27/2017 16:00:00,18.84,10/11/2016 16:00:00,27.76,10/14/2016 16:00:00,21.29
6/28/2017 16:00:00,18.86,10/12/2016 16:00:00,27.72,10/17/2016 16:00:00,21.19
6/29/2017 16:00:00,18.64,10/13/2016 16:00:00,27.48,10/18/2016 16:00:00,21.23
6/30/2017 16:00:00,18.66,10/14/2016 16:00:00,27.46,10/19/2016 16:00:00,21.36
7/3/2017 16:00:00,18.57,10/17/2016 16:00:00,27.47,10/20/2016 16:00:00,21.24
7/5/2017 16:00:00,18.55,10/18/2016 16:00:00,27.63,10/21/2016 16:00:00,21.25
7/6/2017 16:00:00,18.46,10/19/2016 16:00:00,27.61,10/24/2016 16:00:00,21.43
7/7/2017 16:00:00,18.63,10/20/2016 16:00:00,27.69,10/25/2016 16:00:00,21.25
7/10/2017 16:00:00,18.73,10/21/2016 16:00:00,27.75,10/26/2016 16:00:00,21.28
7/11/2017 16:00:00,18.87,10/24/2016 16:00:00,27.78,10/27/2016 16:00:00,21
7/12/2017 16:00:00,19.09,10/25/2016 16:00:00,27.6,10/28/2016 16:00:00,20.87
7/13/2017 16:00:00,19.08,10/26/2016 16:00:00,27.73,10/31/2016 16:00:00,20.79
7/14/2017 16:00:00,19.26,10/27/2016 16:00:00,27.6,11/1/2016 16:00:00,20.5
7/17/2017 16:00:00,19.2,10/28/2016 16:00:00,27.54,11/2/2016 16:00:00,20.18
7/18/2017 16:00:00,19.28,10/31/2016 16:00:00,27.6,11/3/2016 16:00:00,20.23
7/19/2017 16:00:00,19.32,11/1/2016 16:00:00,27.32,11/4/2016 16:00:00,20.29
7/20/2017 16:00:00,19.43,11/2/2016 16:00:00,27.05,11/8/2016 16:00:00,20.61
7/21/2017 16:00:00,19.58,11/3/2016 16:00:00,26.94,11/9/2016 16:00:00,20.7
7/24/2017 16:00:00,19.57,11/4/2016 16:00:00,26.93,11/10/2016 16:00:00,21.1
7/25/2017 16:00:00,19.6,11/7/2016 16:00:00,27.45,11/11/2016 16:00:00,21.3
7/26/2017 16:00:00,19.71,11/8/2016 16:00:00,27.42,11/14/2016 16:00:00,21.36
7/27/2017 16:00:00,19.79,11/9/2016 16:00:00,27.58,11/15/2016 16:00:00,21.36
7/28/2017 16:00:00,19.91,11/10/2016 16:00:00,27.81,11/16/2016 16:00:00,21.55
7/31/2017 16:00:00,19.88,11/11/2016 16:00:00,28.09,11/17/2016 16:00:00,21.76
8/1/2017 16:00:00,19.94,11/14/2016 16:00:00,28.1,11/18/2016 16:00:00,21.71
8/2/2017 16:00:00,20.05,11/15/2016 16:00:00,28.25,11/21/2016 16:00:00,21.73
8/3/2017 16:00:00,20.02,11/16/2016 16:00:00,28.07,11/22/2016 16:00:00,21.95
8/4/2017 16:00:00,20.02,11/17/2016 16:00:00,28.3,11/23/2016 16:00:00,22.09
8/7/2017 16:00:00,20.1,11/18/2016 16:00:00,28.3,11/28/2016 16:00:00,21.95
8/8/2017 16:00:00,20.07,11/21/2016 16:00:00,28.36,11/29/2016 16:00:00,21.78
